date,알루미늄_서구산_excl,알루미늄_서구산_incl,알루미늄_비서구산_excl,알루미늄_비서구산_incl,구리_9999pct이상_excl,구리_9999pct이상_incl,납_9999pct이상_excl,납_9999pct이상_incl,아연_excl,아연_incl,주석_9985pct이상_excl,주석_9985pct이상_incl,주석_9999pct이상_excl,주석_9999pct이상_incl,니켈_합금용_excl,니켈_합금용_incl,니켈_도금용_excl,니켈_도금용_incl
2026-06-19,5736,6310,5690,6260,21045,23150,3245,3570,5845,6430,82527,90780,82654,90920,27509,30260,27890,30680
2026-06-18,5718,6290,5663,6230,21072,23180,3218,3540,5709,6280,84345,92780,84463,92910,27581,30340,27954,30750
2026-06-17,5654,6220,5600,6160,20954,23050,3227,3550,5654,6220,83845,92230,83972,92370,27427,30170,27799,30580
2026-06-16,5627,6190,5581,6140,20900,22990,3227,3550,5690,6260,84063,92470,84190,92610,27272,30000,27654,30420
2026-06-15,5927,6520,5881,6470,20981,23080,3254,3580,5736,6310,82200,90420,82327,90560,27318,30050,27699,30470
2026-06-12,5927,6520,5872,6460,20800,22880,3245,3570,5636,6200,81309,89440,81436,89580,27263,29990,27645,30410
2026-06-11,5845,6430,5790,6370,20763,22840,3263,3590,5590,6150,79672,87640,79800,87780,27136,29850,27518,30270
2026-06-10,5945,6540,5890,6480,20763,22840,3254,3580,5645,6210,79836,87820,79954,87950,27499,30250,27881,30670
2026-06-09,6172,6790,6118,6730,21109,23220,3309,3640,5699,6270,80736,88810,80863,88950,28345,31180,28736,31610
2026-06-08,6181,6800,6127,6740,21009,23110,3336,3670,5699,6270,81981,90180,82100,90310,28809,31690,29199,32120
2026-06-05,6281,6910,6236,6860,21536,23690,3354,3690,5745,6320,85754,94330,85881,94470,28799,31680,29181,32100
2026-06-04,6281,6910,6227,6850,21172,23290,3336,3670,5736,6310,87500,96250,87618,96380,28818,31700,29199,32120
2026-06-02,6309,6940,6254,6880,21009,23110,3263,3590,5636,6200,85900,94490,86027,94630,29181,32100,29563,32520
2026-06-01,6236,6860,6190,6810,20745,22820,3290,3620,5600,6160,84345,92780,84463,92910,28990,31890,29372,32310
2026-05-29,6172,6790,6090,6700,20809,22890,3290,3620,5590,6150,83563,91920,83690,92060,28945,31840,29327,32260
2026-05-28,6109,6720,6018,6620,20500,22550,3263,3590,5527,6080,82500,90750,82618,90880,28672,31540,29054,31960
2026-05-27,6172,6790,6081,6690,20700,22770,3290,3620,5581,6140,83218,91540,83336,91670,28781,31660,29154,32070
2026-05-26,6190,6810,6099,6710,20945,23040,3336,3670,5645,6210,83118,91430,83245,91570,28945,31840,29327,32260
2026-05-22,6127,6740,6036,6640,20563,22620,3318,3650,5581,6140,81018,89120,81136,89250,28472,31320,28845,31730
2026-05-21,6081,6690,5990,6590,20772,22850,3254,3580,5627,6190,82163,90380,82290,90520,28763,31640,29145,32060
2026-05-20,6045,6650,5954,6550,20390,22430,3199,3520,5554,6110,78500,86350,78627,86490,28599,31460,28981,31880
2026-05-19,5981,6580,5890,6480,20590,22650,3245,3570,5554,6110,79554,87510,79681,87650,28090,30900,28472,31320
2026-05-18,5981,6580,5890,6480,20554,22610,3236,3560,5572,6130,79436,87380,79563,87520,28009,30810,28390,31230
2026-05-15,6109,6720,6027,6630,21009,23110,3263,3590,5609,6170,82381,90620,82509,90760,28436,31280,28809,31690
2026-05-14,6090,6700,5999,6600,21318,23450,3263,3590,5518,6070,84490,92940,84618,93080,28836,31720,29209,32130
2026-05-13,5936,6530,5854,6440,21081,23190,3245,3570,5536,6090,82645,90910,82763,91040,28481,31330,28854,31740
2026-05-12,5899,6490,5818,6400,20745,22820,3172,3490,5390,5930,83045,91350,83172,91490,28581,31440,28945,31840
2026-05-11,5763,6340,5681,6250,20172,22190,3154,3470,5309,5840,80336,88370,80463,88510,28036,30840,28409,31250
2026-05-08,5663,6230,5581,6140,19663,21630,3127,3440,5300,5830,80472,88520,80590,88650,28072,30880,28436,31280
2026-05-07,5718,6290,5636,6200,19663,21630,3136,3450,5209,5730,79190,87110,79309,87240,28172,30990,28536,31390
2026-05-06,5863,6450,5781,6360,19381,21320,3136,3450,5190,5710,73563,80920,73681,81050,28972,31870,29345,32280
2026-05-04,5845,6430,5763,6340,19445,21390,3136,3450,5236,5760,74127,81540,74254,81680,28990,31890,29363,32300
2026-04-30,5772,6350,5672,6240,19500,21450,3136,3450,5163,5680,72945,80240,73027,80330,28745,31620,29118,32030
2026-04-29,5818,6400,5727,6300,19463,21410,3136,3450,5245,5770,73009,80310,73090,80400,28909,31800,29272,32200
2026-04-28,5890,6480,5790,6370,19727,21700,3136,3450,5281,5810,73518,80870,73600,80960,28372,31210,28736,31610
2026-04-27,5972,6570,5881,6470,20045,22050,3154,3470,5454,6000,75618,83180,75700,83270,28481,31330,28854,31740
2026-04-24,5999,6600,5899,6490,20081,22090,3145,3460,5409,5950,75227,82750,75309,82840,27999,30800,28372,31210
2026-04-23,5945,6540,5845,6430,20127,22140,3127,3440,5409,5950,75245,82770,75327,82860,27481,30230,27845,30630
2026-04-22,5818,6400,5727,6300,19709,21680,3118,3430,5336,5870,74136,81550,74218,81640,26990,29690,27354,30090
2026-04-21,5827,6410,5736,6310,19881,21870,3172,3490,5300,5830,75709,83280,75790,83370,27181,29900,27554,30310
2026-04-20,5854,6440,5754,6330,20090,22100,3145,3460,5390,5930,75990,83590,76072,83680,27099,29810,27472,30220
2026-04-17,5954,6550,5854,6440,19854,21840,3099,3410,5327,5860,74663,82130,74745,82220,27109,29820,27481,30230
2026-04-16,5918,6510,5827,6410,19827,21810,3109,3420,5272,5800,73890,81280,73972,81370,26936,29630,27299,30030
2026-04-15,5890,6480,5790,6370,20018,22020,3063,3370,5209,5730,75300,82830,75381,82920,27163,29880,27536,30290
2026-04-14,,,,,19736,21710,3072,3380,5200,5720,72563,79820,72645,79910,26563,29220,26936,29630
2026-04-13,,,,,19390,21330,3054,3360,5209,5730,71827,79010,71909,79100,25790,28370,26163,28780
2026-04-10,,,,,19036,20940,3063,3370,5181,5700,71509,78660,71590,78750,25572,28130,25945,28540
2026-04-09,5554,6110,5554,6110,18927,20820,3063,3370,5090,5600,70863,77950,70945,78040,25681,28250,26045,28650
2026-04-08,5754,6330,5754,6330,18781,20660,3145,3460,5245,5770,70027,77030,70109,77120,25745,28320,26118,28730
2026-04-07,,,,,18890,20780,3145,3460,5200,5720,70654,77720,70736,77810,25990,28590,26372,29010
